ID_FINCA,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,ID_ZONA,ID_ESTACION,ALTITUD,SUPERFICIE_IMPUTADA,prod_anterior,prod_hist_media,prod_hist_mediana,prod_zona_media,n_campanas
439,9,2,0,0,1.08,4196.69,468,7,605.0,1.08,,3926.0,3208.4,8796.324304347827,3.0
447,40,2,0,1,0.4694,2540.15,757,12,470.0,0.4694,2828.54,1959.436,1742.438,2497.7699077922075,6.0
523,32,2,0,1,0.6478,2396.79,272,5,635.0,0.6478,947.844,2206.4284,2290.4,10747.517802507837,5.0
797,59,1,0,1,7.5143,12327.18,845,16,647.5,7.5143,6950.0,19393.333333333332,14690.0,10503.10229710145,15.0
797,68,1,0,0,2.3854,9859.9,845,16,647.5,2.3854,3130.0,19393.333333333332,14690.0,10503.10229710145,15.0
812,68,1,0,0,0.5741,4834.88,698,12,490.0,0.5741,3800.0,4702.857142857143,4420.0,4355.7708219895285,7.0
917,59,1,0,1,1.2795,3050.99,585,15,575.0,1.2795,,2524.5,3187.5,8468.738272727272,5.0
966,32,2,0,1,0.0,1801.36,464,3,655.0,1.6486,,1188.4924999999998,916.4075,9512.757841843972,4.0
1022,17,2,0,1,0.4694,3340.12,441,12,462.5,0.4694,4170.0,2848.3333333333335,2590.0,3168.568229310345,6.0
1142,59,1,0,1,0.85,1092.75,464,14,655.0,0.85,682.0,1112.642857142857,1047.5,9512.757841843972,7.0
1190,59,2,0,1,2.4615,15362.43,412,15,605.0,2.4615,10382.922,14978.551,16191.503,11870.418729166668,8.0
1270,9,2,0,0,2.48,9658.85,474,7,625.0,2.48,7962.955,8500.68,7962.955,11566.410256410256,7.0
1270,94,2,0,0,0.37,8320.23,474,7,625.0,0.37,,8500.68,7962.955,11566.410256410256,7.0
1592,32,2,0,1,0.0,6186.85,464,3,655.0,1.6486,,5031.5488,3472.608,9512.757841843972,5.0
1777,59,1,0,1,0.3296,673.75,885,3,600.0,0.3296,304.096,556.0648571428571,514.8,1573.6213026315788,7.0
2083,15,2,0,1,3.1748,15955.39,284,5,650.0,3.1748,11280.0,14230.6483,11640.0,6884.3723787709505,16.0
2083,26,2,0,1,6.9498,15770.93,284,5,650.0,6.9498,9320.3728,14230.6483,11640.0,6884.3723787709505,16.0
2083,52,2,0,1,1.3394,16043.74,284,5,650.0,1.3394,12920.0,14230.6483,11640.0,6884.3723787709505,16.0
2083,59,1,0,1,8.74,14314.22,284,5,650.0,8.74,6730.0,14230.6483,11640.0,6884.3723787709505,16.0
2360,59,2,0,1,6.2374,10458.73,513,18,622.5,6.2374,838.77,25498.898571428574,27702.0,21021.186153846156,7.0
2486,68,1,0,0,1.3553,10164.18,737,7,630.0,1.3553,8940.0,9231.42857142857,9060.0,7137.029702970297,7.0
2584,52,1,0,1,0.9767,3022.14,449,15,625.0,0.9767,3017.52,2610.32625,2714.0535,3944.8322464454977,4.0
2716,26,2,0,1,3.757,21819.71,839,5,610.0,3.757,19020.0,13779.4,11518.8,8809.119338797815,4.0
2821,59,2,0,1,3.13,22512.34,990,18,665.0,3.13,20480.0,18891.428571428572,20480.0,8129.642857142857,7.0
2874,87,1,0,0,0.12,754.76,757,12,470.0,0.12,575.622,681.0331428571428,601.6,2497.7699077922075,7.0
2891,59,1,0,1,0.4741,4913.99,379,16,620.0,0.4741,4664.662,6014.355285714286,4664.662,7885.648977272727,7.0
2913,52,2,0,1,2.11,12012.03,449,3,625.0,2.11,4400.0,10819.714285714286,10744.0,3944.8322464454977,7.0
2916,17,1,0,1,3.8,6374.07,677,5,610.0,3.8,1921.0,9281.285714285714,8280.0,7341.842652173913,21.0
2916,17,2,0,1,3.8,10689.81,677,5,610.0,3.8,7225.0,9281.285714285714,8280.0,7341.842652173913,21.0
2916,32,2,0,1,2.33,7388.62,677,5,610.0,2.33,1280.0,9281.285714285714,8280.0,7341.842652173913,21.0
2916,59,2,0,1,1.26,7170.21,677,5,610.0,1.26,,9281.285714285714,8280.0,7341.842652173913,21.0
3014,17,1,0,1,0.4181,629.24,462,19,525.0,0.4181,86.0,578.6666666666666,820.0,3630.584107142857,3.0
3016,17,1,0,1,0.6886,3793.0,449,15,625.0,0.6886,3790.0,3575.0,3720.0,3944.8322464454977,6.0
3032,59,1,0,1,0.2199,642.83,759,12,480.0,0.2199,380.304,508.25485714285713,424.08,1713.3062444444445,7.0
3091,81,1,0,1,3.92,21594.26,379,16,620.0,3.92,11225.35,25265.91114285714,27007.902,7885.648977272727,7.0
3316,68,1,0,0,0.6748,982.91,123,19,515.0,0.6748,532.322,1115.3622857142857,930.0,3642.226024793388,7.0
3494,59,1,0,1,0.2232,1354.81,134,12,460.0,0.2232,547.143,1539.7332857142858,959.14,3378.7778515151517,7.0
3555,59,1,0,1,3.61,11551.84,379,16,620.0,3.61,15961.506,9383.587428571427,8977.36,7885.648977272727,7.0
3643,40,2,0,1,1.2752,9201.08,384,19,550.0,1.2752,12730.0,8172.0,6150.0,7961.578947368421,5.0
3710,59,1,0,1,0.5372,991.03,64,19,555.0,0.5372,1453.991,1116.3787142857143,987.66,6355.09470212766,7.0
3860,52,2,0,1,7.2346,22081.5,272,5,635.0,7.2346,16740.0,19697.14285714286,16740.0,10747.517802507837,7.0
3931,17,1,0,1,1.2231,4223.68,885,12,600.0,1.2231,3320.0,4202.857142857143,4430.0,1573.6213026315788,7.0
4024,32,2,0,1,11.32,57670.82,919,14,655.0,11.32,64104.223,34174.3641,32794.0,14606.939106666667,46.0
4024,40,2,0,1,7.535,13669.96,919,14,655.0,7.535,11352.168,34174.3641,32794.0,14606.939106666667,46.0
4024,52,2,0,1,9.2677,31801.28,919,14,655.0,9.2677,28960.0,34174.3641,32794.0,14606.939106666667,46.0
4024,59,2,0,1,0.0,10970.23,919,14,655.0,9.537600000000001,4346.706,34174.3641,32794.0,14606.939106666667,46.0
4024,81,2,0,1,13.86,36150.47,919,14,655.0,13.86,27380.46,34174.3641,32794.0,14606.939106666667,46.0
4024,87,2,0,0,5.7053,48337.89,919,14,655.0,5.7053,45400.0,34174.3641,32794.0,14606.939106666667,46.0
4032,87,1,0,0,0.9378,3401.58,266,18,655.0,0.9378,2820.0,3298.5714285714284,3240.0,11200.327868852459,7.0
4052,17,2,0,1,4.68,17567.01,36,18,635.0,4.68,12360.0,16893.785714285714,16461.9,12498.260869565218,7.0
4377,9,2,0,0,1.8048,7154.14,408,18,660.0,1.8048,5795.965,6199.14375,5992.145,7162.5,4.0
4907,9,2,0,0,1.95,11699.64,468,12,605.0,1.95,10320.0,10520.0,10520.0,8796.324304347827,2.0
4926,32,2,0,1,1.18,6356.79,510,15,600.0,1.18,6310.0,5928.571428571428,5540.0,9139.647419213974,7.0
4990,15,2,0,1,1.4444,6301.35,839,5,610.0,1.4444,,5733.278,5733.278,8809.119338797815,2.0
5062,9,2,0,0,0.0267,556.79,513,18,622.5,0.0267,24.5,39.6,39.6,21021.186153846156,2.0
5062,59,2,0,1,0.0531,937.52,513,18,622.5,0.0531,,39.6,39.6,21021.186153846156,2.0
5142,17,2,0,1,0.3247,2103.48,715,15,615.0,0.3247,1275.449,2007.8757999999998,1850.696,3161.070875,20.0
5142,52,2,0,1,0.7606,2546.06,715,15,615.0,0.7606,2723.536,2007.8757999999998,1850.696,3161.070875,20.0
5142,59,2,0,1,0.5946,2082.9,715,15,615.0,0.5946,1076.998,2007.8757999999998,1850.696,3161.070875,20.0
5276,59,1,0,1,0.2343,1111.61,134,12,460.0,0.2343,1420.0,1154.2857142857142,1330.0,3378.7778515151517,7.0
5377,40,2,0,1,1.6499,6774.95,449,3,625.0,1.6499,3604.744,6320.361666666667,6168.5195,3944.8322464454977,6.0
5462,81,1,0,1,0.4257,1354.93,412,15,605.0,0.4257,1560.24,1163.9335714285714,1399.46,11870.418729166668,7.0
5498,15,2,0,1,1.1028,6648.98,700,16,605.0,1.1028,8350.0,5620.0,5465.0,11397.034537572255,4.0
5548,59,2,0,1,0.2908,3067.56,134,12,460.0,0.2908,,2643.4488333333334,2620.6904999999997,3378.7778515151517,6.0
5638,59,1,0,1,0.7415,1321.54,885,3,600.0,0.7415,726.24,1308.33,1216.8,1573.6213026315788,7.0
5696,59,1,0,1,7.62,8973.45,919,14,655.0,7.62,7092.8,11571.485714285713,10894.0,14606.939106666667,7.0
5760,40,2,0,1,1.1759,9364.55,669,18,652.5,1.1759,4838.877,7869.26875,8599.5665,32866.55172413793,4.0
5844,26,1,0,1,1.81,9852.12,737,7,630.0,1.81,,10524.800000000001,8793.36,7137.029702970297,3.0
5844,26,2,0,1,1.81,12799.65,737,7,630.0,1.81,14274.72,10524.800000000001,8793.36,7137.029702970297,3.0
5897,15,2,0,1,2.1251,13461.75,209,18,630.0,2.1251,17985.996,9806.080222222221,9878.755,6142.707209876543,9.0
6132,52,2,0,1,0.11,665.37,698,12,490.0,0.11,339.15,220.707,271.32,4355.7708219895285,6.0
6307,17,1,0,1,1.176,6325.91,441,12,462.5,1.176,6612.0,5469.172428571429,6061.583,3168.568229310345,7.0
6454,94,2,0,0,4.7932,16698.41,700,16,605.0,4.7932,6890.0,13957.142857142857,12850.0,11397.034537572255,7.0
6732,59,1,0,1,0.1649,594.01,134,12,460.0,0.1649,227.976,453.33733333333333,388.056,3378.7778515151517,6.0
6950,59,2,0,1,0.0304,1198.75,513,18,622.5,0.0304,295.9,2007.1599999999999,295.9,21021.186153846156,5.0
7104,9,2,0,0,0.5047,3036.77,441,12,462.5,0.5047,3620.0,2491.875,2720.0,3168.568229310345,4.0
